date,open
2015/10/13,245.2
2015/10/14,249.49
2015/10/15,252.11
2015/10/16,254.3
2015/10/17,262.75
2015/10/18,270.91
2015/10/19,261.86
2015/10/20,263.57
2015/10/21,269.31
2015/10/22,266.5
2015/10/23,273.65
2015/10/24,276.5
2015/10/25,281.45
2015/10/26,283.63
2015/10/27,285.18
2015/10/28,293.7
2015/10/29,304.32
2015/10/30,313.94
2015/10/31,328.51
2015/11/1,315.01
2015/11/2,325.94
2015/11/3,361.87
2015/11/4,403.66
2015/11/5,408.08
2015/11/6,388.05
2015/11/7,374.27
2015/11/8,384.28
2015/11/9,374.32
2015/11/10,379.98
2015/11/11,339.82
2015/11/12,314.08
2015/11/13,338.5
2015/11/14,336.62
2015/11/15,333.05
2015/11/16,319.73
2015/11/17,330.36
2015/11/18,334.59
2015/11/19,334.68
2015/11/20,326.41
2015/11/21,322.09
2015/11/22,326.98
2015/11/23,324.35
2015/11/24,323.01
2015/11/25,320.05
2015/11/26,328.3
2015/11/27,351.86
2015/11/28,357.14
2015/11/29,357.47
2015/11/30,371.44
2015/12/1,377.41
2015/12/2,361.85
2015/12/3,359.33
2015/12/4,361.26
2015/12/5,363.72
2015/12/6,389.55
2015/12/7,389.98
2015/12/8,395.75
2015/12/9,414.44
2015/12/10,417.99
2015/12/11,415.28
2015/12/12,452.33
2015/12/13,431.66
2015/12/14,433.27
2015/12/15,443.88
2015/12/16,465.21
2015/12/17,454.78
2015/12/18,455.85
2015/12/19,463.55
2015/12/20,462.23
2015/12/21,442.84
2015/12/22,437.44
2015/12/23,436.72
2015/12/24,443.09
2015/12/25,454.86
2015/12/26,455.76
2015/12/27,416.51
2015/12/28,423.34
2015/12/29,422.1
2015/12/30,433.3
2015/12/31,425.88
2016/1/1,430.72
2016/1/2,434.62
2016/1/3,433.58
2016/1/4,430.06
2016/1/5,433.07
2016/1/6,431.86
2016/1/7,430.01
2016/1/8,457.54
2016/1/9,453.38
2016/1/10,448.24
2016/1/11,448.7
2016/1/12,448.18
2016/1/13,434.67
2016/1/14,432.29
2016/1/15,430.26
2016/1/16,365.07
